4_6b_1_12,3840
4_6b_1_13,3709
4_6b_1_14,3671
4_6b_1_15,3736
4_6b_1_16,3694
4_6b_1_17,3818
4_6b_1_2,3677
4_6b_1_3,3833
4_6b_1_4,3796
4_6b_1_5,3662
4_6b_1_6,3819
4_6b_1_7,3832
4_6b_1_8,3696
4_6b_1_9,3784
4_6c_13_1,4053
4_6c_1_1,3910
4_6c_3_1,4029
4_6c_8_1,4028
4_6d_1,3977
4_6d_2,3977
4_6d_3,3977
4_6d_4,3969
4_9_1_1,2707
5_0_0,2192
5_0a_1,2574
5_0a_11,2898
5_0a_3,2753
5_0a_5,2544
5_0a_6,2715
5_0a_7,2646
5_0a_8,2958
5_0a_9,2561
5_0b_1,3879
5_0b_10,3958
5_0b_3,3885
5_0b_5,3890
5_0b_7,3889
5_0b_8,3956
5_0b_9,3919
5_0c_1,3980
5_0c_10,4034
5_0c_11,3995
5_0c_12,4061
5_0c_13,4027
5_0c_3,3996
5_0c_5,3987
5_0c_6,3997
5_0c_7,3985
5_0c_8,4027
5_0c_9,4035
5_0d_1,3851
5_0d_10,3921
5_0d_11,3990
5_0d_3,3862
5_0d_5,3851
5_0d_6,3857
5_0d_7,3857
5_0d_8,3856
5_0d_9,3877
5_4_7,2410
5_4_8,3143
5_5_0,536
6_0_1,1487
6_0_2,1584
6_13_1_1,4004
6_2_0,1349
6_2a_1,2161
6_2a_3,2165
6_5_3,1904
6_5_4,1922
6_5_7,1937
6_5_9,2838
7_0_0,2449
7_2_0,3215
7_3_1_1,3229
7_4_0,3368
7_6_2_1,3462
7_6_3_1,3483
7_6_4_1,3867
7_7_0,3471
7_7a_2,3830
8_0_0,1571
8_0a_3,2987
8_0a_4,3036
8_0a_6,3197
8_0a_7,2961
8_0a_9,3181
8_1_11_1,2437
8_1_1_1,2161
8_1_2_1,2118
8_1_3_1,2224
8_1_4_1,2238
8_1_5_1,2072
8_1_6_1,2262
8_1_7_1,2215
8_1_8_1,2365
8_1_9_1,2177
8_2_1_3,3106
9_1_1_1,3783
9_1_1_2,3767
9_1_1_3,3783
9_1_1_4,3787
9_1_3_1,3830
9_1_3_2,3821
9_1_3_3,3823
9_1_3_4,3822
